source_page,original_asset_url,local_filename,asset_type,meaningful_or_technical,target_usage,download_status,qa_status,omission_reason
/,https://auroradental.clinic/wp-content/uploads/2025/08/lucy_and_kiki.webp,assets/images/hero-lucy-and-kiki.webp,image,meaningful,Home hero,DONE,PASS,
/,https://auroradental.clinic/wp-content/uploads/2025/08/dental_statiion.webp,assets/images/dental-station-1.webp,image,meaningful,Home feature grid,DONE,PASS,
/,https://auroradental.clinic/wp-content/uploads/2025/08/dental_station2.webp,assets/images/dental-station-2.webp,image,meaningful,Home feature grid,DONE,PASS,
/,https://auroradental.clinic/wp-content/uploads/2025/08/lucy_and_baby.webp,assets/images/lucy-and-baby.webp,image,meaningful,Home welcome/feature,DONE,PASS,
/staff/,https://auroradental.clinic/wp-content/uploads/2025/07/lucy_liu_2.jpg,assets/images/dr-lucy-liu.jpg,image,meaningful,Staff card Dr. Lucy Liu,DONE,PASS,
/staff/,https://auroradental.clinic/wp-content/uploads/2025/07/james_hsia_2.jpg,assets/images/dr-james-hsia.jpg,image,meaningful,Staff card Dr. James Hsia,DONE,PASS,
/staff/,https://auroradental.clinic/wp-content/uploads/2025/07/kyla_imbat.jpg,assets/images/kyla-imbat.jpg,image,meaningful,Staff card Kyla Imbat,DONE,PASS,
/staff/,https://auroradental.clinic/wp-content/uploads/2025/07/avneet_kang.jpg,assets/images/avneet-kang.jpg,image,meaningful,Staff card Avneet Kang,DONE,PASS,
/contact/,https://auroradental.clinic/wp-content/uploads/2025/07/office_front-1.jpg,assets/images/office-front.jpg,image,meaningful,Contact hero/info,DONE,PASS,
global,https://auroradental.clinic/wp-content/uploads/2025/08/aurora_icon.png,assets/images/aurora-icon.png,logo,meaningful,Header/footer logo wordmark,DONE,PASS,
global,https://auroradental.clinic/wp-content/uploads/2025/08/cropped-aurora_icon-192x192.png,assets/images/aurora-icon-192.png,icon,meaningful,PWA/OG icon,DONE,PASS,
global,https://auroradental.clinic/wp-content/uploads/2025/08/cropped-aurora_icon-180x180.png,assets/images/aurora-icon-180.png,icon,technical,apple-touch-icon,DONE,PASS,
global,https://auroradental.clinic/wp-content/uploads/2025/08/cropped-aurora_icon-32x32.png,assets/images/favicon-32.png,icon,technical,favicon,DONE,PASS,
