source_page,element_label,type,source_destination_or_behavior,target_page,target_implementation,test_result,blocker
global,Home,nav link,/,all,/index.html,PASS,
global,Staff,nav link,/staff/,all,/staff/index.html,PASS,
global,Services,nav link,/services/,all,/services/index.html,PASS,
global,FAQ,nav link,/faq/,all,/faq/index.html,PASS,
global,Contact Us,nav link,/contact/,all,/contact/index.html,PASS,
global,BOOK NOW,CTA button,/contact/#booking_form,all,/contact/#booking_form,PASS,
global,604-271-6733,phone,tel:6042716733,all,tel:6042716733,PASS,
global,220-10151 No. 3 Rd Richmond BC,address link,/contact/#map,header,/contact/#map,PASS,
global,Facebook,social icon,https://www.facebook.com/AuroraDentalinRichmond,footer,same URL (target _blank rel noopener),PASS,
global,LinkedIn,social icon,https://www.linkedin.com/in/%E7%9C%9F%E5%AD%90-%E5%88%98-23934189/,footer,same URL,PASS,
global,Google Maps/Reviews,social icon,https://g.co/kgs/xWzbcXG,footer+contact,same URL,PASS,
global,webmaster@auroradental.clinic,email link,mailto:webmaster@auroradental.clinic,footer,mailto: same,PASS,
/contact/,info@auroradental.clinic,email link,mailto:info@auroradental.clinic,/contact/,mailto: same,PASS,
/contact/,Get Directions,link,Google Maps,/contact/,https://g.co/kgs/xWzbcXG (_blank),PASS,
/contact/,Map embed,iframe,Google Maps embed (Aurora Dental Clinic place),/contact/,same maps embed iframe,PASS,
/contact/,Booking/Contact form,form,WP Contact Form 7 → emails clinic,/contact/,JS validation + mailto:info@auroradental.clinic handoff (same fields/required),PASS,AJAX-to-inbox variant needs email API key (optional upgrade) — documented
/faq/,Question toggles,accordion,click to expand answer,/faq/,native details/summary + JS enhance,PASS,
/services/,Category navigation,scroll,scroll through categories,/services/,in-page anchor jump-nav,PASS,
